SMILES,Dataset,ZBTB11_pDC50,ZBTB11_Dmax,IKZF1_pDC50,IKZF1_Dmax,
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)CNCC5=CC=C(Cl)C(C(F)(F)F)=C5)=CC=C3,Train,,38.61,7.397940009,82.75,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC(C(F)(F)F)=C(Cl)C=C5)=CC=C3,Train,7.148741651,66.41489075,7.522878745,85.08,ALV-alkyl
ClC1=C(C(F)(F)F)C=C(CN(CCC2)C2C3=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=CC=C3)C=C1,Val,5.614393726,35.50279522,6.853871964,65.12,ALV-pyrrolidine
ClC1=C(C(F)(F)F)C=C(CN2CCCC(C3=CC=C(C=C3)NC(C(N4C5CCC(NC5=O)=O)=O)=CC4=O)C2)C=C1,Val,,35.3,,42.16,ALV-piperidine
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(C=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,Train,4.642827742,68.02,7,45.91,ALV-alkyl
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(S(=O)(F)=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,Train,4.331520897,70,,67.79,ALV-alkyl
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(S(=O)(F)=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,Train,4.393618635,65.76,,40.98,ALV-alkyl
O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(C=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,Train,,62.56,7.15490196,47.07,ALV-alkyl
O=C(N(C1=O)C2CCC(N(C)C2=O)=O)C=C1NC3=CC=CC(C4(CCC4)NCCC5=CC(C(F)(F)F)=C(Cl)C=C5)=C3,Train,4.428058365,42.63,,8.06,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC(Cl)=CC=C5)=CC=C3,Train,,52.02,7.096910013,88.58,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC(C=C3)=CC=C3C4(CCC4)NCCC5=CC(C(F)(F)F)=C(Cl)C=C5,Train,4.738737131,61.93,,,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC=C(Cl)C=C5)=CC=C3,Train,,57.75,,,ALV-alkyl
CSC1=CC=C(C2(CCCC2)NC(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)=O)C=C1,Train,7.698970004,60.2,8.301029996,84.97,MR2-urea
O=C1N(C2CCC(NC2=O)=O)CC3=CC(CC(NC4(CCCC4)C5=CC=C(SC)C=C5)=O)=CC=C31,Val,,5.28,7.229147988,28.52,MR2-MeAmide
O=C(C(CC1)N2C(C(NC3=CC(C4(CCC4)N(C)CCC5=CC=C(Cl)C(C(F)(F)F)=C5)=CC=C3)=CC2=O)=O)NC1=O,Train,5.70333481,59.31,6.886056648,83.79,ALV-alkyl
O=C1CCC(N2C(C(C=CC(C(NCC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Val,,4.58,8.301029996,19.77,MR2-amideMe
O=C1CCC(N2C(C(C=CC(NC(NCC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Train,,28.22,5.588043762,44.39,MR2-ureaMe
O=C1CCC(N2C(C(C=CC(CNC(NC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Train,4.084389137,27.11,7.283996656,68.31,MR2-MeUrea
O=C1CCC(N2C(C(C=CC(NC(N(C)CC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Train,5.37161107,18.29,5.454445493,17.24,MR2-ureaMe
O=C1N(C2CCC(NC2=O)=O)CC3=CC(CC(N(C)CC4(CCCC4)C5=CC=C(SC)C=C5)=O)=CC=C31,Val,,15.56,,3.49,MR2-MeAmideMe
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Train,7.096910013,31.57,7.886056648,76.26,MR2-urea
O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Train,7.045757491,33.91,8.096910013,78.81,MR2-urea
O=C1CCC(N2C(C(C=CC(CNC(NC3(CCCC3)C4=CC=C(S(C)=O)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Train,,4.8,5.231509895,50.54,MR2-MeUrea
O=C1CCC(N2C(C(C=CC(CN(C)C(NC3(CCCC3)C4=CC=C(S(C)=O)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Train,,5.77,5.50962008,55.52,MR2-MeUrea
O=C1C2=CC=C(NC(N(CCCC3=CC=C(OC)C=C3)C)=O)C=C2CN1C4CCC(NC4=O)=O,Train,,1.69,6.565431096,24.03,MR2-ureaAlkyl
