Compound_ID,SMILES,Seed,ipTM_ikzf1,pTM_ikzf1,pLDDT_ikzf1,Ranking_Score_ikzf1,Early_Stopped_ikzf1,Min_Dist_Angstrom_ikzf1,Dist_Status_ikzf1,Flagged_Greater_Than_10A_ikzf1,Fraction_Success_Under_10A_ikzf1,OpenMM_Minimized_Energy_kJ_mol,OpenMM_Minimized_Energy_kJ_mol_ikzf1
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,43,0.7297487258911133,0.8430833220481873,0.8582,0.7524,False,3.0434356,Success,False,1.0,,-20697.454384684563
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,44,0.7437121272087097,0.8431088924407959,0.8574,0.7636,False,2.8406775,Success,False,1.0,,-20406.6659360528
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,45,0.7342798113822937,0.8439885377883911,0.8579,0.7562,False,3.3557606,Success,False,1.0,,-20390.740035921335
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,46,0.7257435321807861,0.8468503952026367,0.8577,0.75,False,2.4645126,Success,False,1.0,,-20393.854671657085
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,47,0.7493957281112671,0.850732147693634,0.8588,0.7697,False,2.820433,Success,False,1.0,,-20674.13865238428
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,48,0.7459979057312012,0.8492792844772339,0.8592,0.7667,False,2.3510046,Success,False,1.0,,-20482.897618353367
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,49,0.7288676500320435,0.8407704830169678,0.8568,0.7512,False,3.1501112,Success,False,1.0,,-20449.54528415203
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,50,0.7212310433387756,0.8467893600463867,0.8574,0.7463,False,3.235916,Success,False,1.0,,-20657.03755635023
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,51,0.7424478530883789,0.8392454981803894,0.8572,0.7618,False,3.348623,Success,False,1.0,,-20432.998620271683
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,42,0.7204704880714417,0.8359940648078918,0.8576,0.7436,False,3.3466823,Success,False,1.0,,-20289.15516987443
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,43,0.7436863780021667,0.8392939567565918,0.8583,0.7628,False,3.1651824,Success,False,1.0,,-20558.95912641287
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,44,0.7419928908348083,0.835405170917511,0.8579,0.7607,False,3.0248861,Success,False,1.0,,-20810.694885253906
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,45,0.7328851819038391,0.8354911804199219,0.8573,0.7534,False,3.0252924,Success,False,1.0,,-20526.824541032314
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,46,0.7299814820289612,0.8418391942977905,0.858,0.7524,False,2.8260639,Success,False,1.0,,-20340.622127056122
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,47,0.7313312888145447,0.840671181678772,0.8585,0.7532,False,2.992128,Success,False,1.0,,-20690.761238098145
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,48,0.7394732236862183,0.843582808971405,0.8583,0.7603,False,3.0825803,Success,False,1.0,,-20387.28299611807
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,49,0.7376606464385986,0.8294228315353394,0.8572,0.756,False,2.9058993,Success,False,1.0,,-20604.745467305183
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,50,0.7422142028808594,0.8409945368766785,0.8584,0.762,False,3.1267552,Success,False,1.0,,-20328.529638290405
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,51,0.7276232242584229,0.8421955704689026,0.8587,0.7505,False,2.9961457,Success,False,1.0,,
JWJ-01-212,ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,42,0.708466649055481,0.8399754762649536,0.8579,0.7348,False,3.0954587,Success,False,1.0,,-20729.21043919772
JWJ-01-212,ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,43,0.7213216423988342,0.8391700387001038,0.8593,0.7449,False,2.9014783,Success,False,1.0,,-20149.835166603327
JWJ-01-212,ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,44,0.7241374254226685,0.8404189348220825,0.8579,0.7474,False,3.2620459,Success,False,1.0,,-19975.6836206913
JWJ-01-212,ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,45,0.7420528531074524,0.839049220085144,0.8583,0.7615,False,3.2626164,Success,False,1.0,,-20674.58972580731
JWJ-01-212,ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,46,0.7150586843490601,0.8386651873588562,0.8577,0.7398,False,3.0077293,Success,False,1.0,,-19956.54387587309
JWJ-01-212,ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,47,0.7428020238876343,0.8382409811019897,0.8587,0.7619,False,3.2151442,Success,False,1.0,,-19379.893007576466
JWJ-01-212,ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,48,0.7449032664299011,0.8394496440887451,0.8584,0.7638,False,3.1192577,Success,False,1.0,,-20311.371946275234
JWJ-01-212,ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,49,0.7404571175575256,0.8412778377532959,0.8598,0.7606,False,3.3023176,Success,False,1.0,,-20502.678013145924
JWJ-01-212,ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,50,0.7491973638534546,0.8372419476509094,0.8586,0.7668,False,3.180699,Success,False,1.0,,-20812.945170223713
