SMILES,zbtb11_100uM,zbtb11_30uM,zbtb11_10uM,zbtb11_3uM,zbtb11_1uM,zbtb11_300nM,zbtb11_100nM,zbtb11_30nM,zbtb11_10nM,zbtb11_3nM,ikzf1_100uM,ikzf1_30uM,ikzf1_10uM,ikzf1_3uM,ikzf1_1uM,ikzf1_300nM,ikzf1_100nM,ikzf1_30nM,ikzf1_10nM,ikzf1_3nM,True_ZBTB11_AUC,True_IKZF1_AUC,SupCon_Class
COC1=CC=C(N2CCN(C(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)=O)CC2)C=C1,100.0,100.0,85.38195855,93.71190573,98.33401056,99.70540431,100.0,100.0,100.0,100.0,93.37435604,93.91610107,93.54812331,96.93147436,96.49194538,96.84970153,100.0,100.0,100.0,100.0,440.8545141030338,439.4243431527943,0
O=C1C2=CC=C(NC(CN(CC3)CCN3C4=CC=C(OC)C=C4)=O)C=C2CN1C5CCC(NC5=O)=O,94.01665989,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38.16747077,37.94259547,41.7348107,42.55253905,42.00057241,41.87791316,48.14375664,57.02633085,74.81192248,97.07457683,450.72359384338256,228.40281645911585,2
O=C1C2=CC=C(NC(NC(C3=CC=C(OC)C=C3)(C)C)=O)C=C2CN1C4CCC(NC4=O)=O,50.47033285,50.77182827,56.25904486,54.81186686,58.24891462,61.02267246,64.03762663,82.24794983,89.24264351,92.37819585,15.01017044,14.22859948,13.91797513,13.92799527,15.44103648,17.7957695,21.49320133,34.34904157,58.1168148,86.31349012,295.6675032458991,121.12521103041182,2
O=C1CCC(N2C(C(C=CC(NC(N(C)CC(C)(C)C3=CC=C(OC)C=C3)=O)=C4)=C4C2)=O)C(N1)=O,97.14676647,100.0,91.91516761,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.26323775,88.0131731,95.065262,100.0,91.49611187,99.28961843,91.22885666,100.0,95.35838061,93.37551942,447.49951074895466,427.9746634293049,0
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCC4=CC=CC=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,83.815726,87.73516643,93.16208394,99.97588037,100.0,99.91558128,100.0,100.0,99.79498312,100.0,33.65765188,37.68574835,38.01641299,49.22895019,60.67195062,80.03086203,97.61620858,100.0,100.0,100.0,438.34851565683715,316.5684390360653,2
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCCC4=CC=C(OC)C=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,84.3494708,93.00173045,88.73596523,99.03819067,100.0,100.0,99.7625659,100.0,100.0,100.0,29.98430953,33.21723537,36.88121799,44.77817818,55.14940428,76.73672776,87.6510854,97.96196355,95.11698881,96.34119006,438.4654361174991,296.7728600312655,2
O=C1CCC(N2C(C(C=CC(NC(NC3(C4=CC=CC(OC5=CC=CC=C5)=C4)CCC3)=O)=C6)=C6C2)=O)C(N1)=O,64.27882296,63.61553304,63.91702846,62.71104679,62.16835504,64.03762663,73.20308731,84.05692233,90.20742885,96.17703811,22.3749737,20.03026082,19.91001914,19.69959619,22.25473201,25.93212357,32.10453011,40.60160923,60.93247427,85.73232197,323.90799387957884,148.99617622779004,2
O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=CC5=C4C=C(OC)C=C5)=O)=C6)=C6C2)=O)C(N1)=O,45.59539619,81.61294217,80.72759467,79.72151797,84.79214455,88.85669443,88.85669443,95.81874522,100.0,100.0,40.79521355,39.4761798,41.37282963,38.34681104,39.60549684,45.90754694,49.38186458,61.54628688,73.85726848,85.19406176,388.25753575921044,227.6856991914359,2
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,46.48074369,52.1550163,53.68425289,54.36838505,55.29397561,67.64859753,62.09505413,71.59241821,82.25683126,95.73825908,24.00124144,23.10464334,22.51840612,21.93216891,24.10469507,25.73408969,27.82902564,38.5795817,53.75278032,80.46105833,286.72891235169925,146.08825351141806,3
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)CNCC4=CC=CC=C4)=O)=C5)=C5C2)=O)C(N1)=O,90.50892426,90.32802701,91.29281235,92.98118669,94.66956102,96.78002894,96.84032803,98.16690786,100.0,100.0,61.51364242,67.66600868,66.67401477,75.80236275,82.58599786,95.01097205,98.0170142,94.51998517,97.78655097,98.02703434,430.33595959088785,380.74166766772237,2
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)CNCC4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,85.86589484,80.13748191,80.07718283,83.815726,92.98118669,94.85045827,98.52870236,98.0463097,100.0,100.0,69.99068127,74.3294021,69.7501979,79.72023768,92.19531258,97.73645027,98.03705448,99.48997485,100.0,100.0,412.81118682217317,400.07157199590375,0
O=C1CCC(N2C(C(C=CC(NC(N(C)C3(CCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,87.37337192,89.3029426,89.12204534,91.17221418,91.4737096,93.22238302,94.30776652,100.0,100.0,99.8552822,58.1168148,53.89833565,53.12678484,55.48151785,54.57970521,61.93448832,73.17708594,82.56595757,95.76248259,99.17935049,423.24947250339596,306.3865897571219,2
COC1=CC=C(C2(CCC2)NS(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)(=O)=O)C=C1,80.31837916,92.80028944,94.91075736,97.92571153,100.0,100.0,100.0,100.0,99.79498312,99.79498312,73.28730749,88.67824327,94.49994489,95.31157627,100.0,100.0,100.0,100.0,100.0,100.0,439.8045951635946,434.54900717168965,0
O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,53.88546823,65.43522878,63.94623526,63.50356151,64.79133969,67.20592378,78.71544127,92.92124432,88.45426375,96.66384965,14.75938411,14.90594341,15.1214718,16.74224529,15.42321155,19.25099574,22.00975913,33.73450351,49.04564029,75.09009087,331.84613839795253,116.60707573081973,2
O=C1C2=CC=C(NC3=C(NC4(CCC4)C5=CC=C(OC)C=C5)C(C3=O)=O)C=C2CN1C6CCC(NC6=O)=O,84.91287376,89.58106966,91.02982011,97.26749567,100.0,96.34190511,93.08221659,100.0,100.0,96.18093283,12.57823681,17.98368881,39.03650189,65.624084,81.48697346,96.09117713,93.4186251,100.0,99.05684777,99.28099729,430.99630475390967,325.5933570671138,2
O=C1C2=CC=CC(NC(NC3(CCC3)C4=CC=C(OC)C=C4)=O)=C2CN1C5CCC(NC5=O)=O,88.97742364,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.23332931,92.22890839,94.30660207,96.66879321,93.91865096,99.6948118,92.24615066,93.70312258,100.0,100.0,100.0,448.9442618027416,435.5252708527861,0
